The karyotype in /Users/elvisa/Desktop/Example_Data/WTC-11_Sample/WTC-11.bed.gz is: 46XY

chrom	start	stop	name	WTC_mean	
chr1	89005	267354	LOC100996442	2.8292082
chr1	134772	140566	LOC729737	2.7318975
chr1	184877	199860	WASH9P	3.334174
chr1	187890	187958	MIR6859-2	3.334174
chr1	200441	203983	LOC107985721	2.901109
chr1	627379	629009	LOC101928626	24.330811
chr1	632614	632685	MIR12136	26.253255
chr1	2700539	2702756	LOC105378603	1.053885
chr1	2701376	2702276	LOC105378602	1.053885
chr1	2762487	2763387	LOC105378601	0.906706
chr1	2763418	2767518	LOC112268220	0.906706
chr1	2764563	2765629	LOC107985732	0.906706
chr1	2766072	2766972	LOC105378600	0.906706
chr1	2771825	2772891	LOC107984904	0.906706
chr1	2773494	2774394	LOC105378599	0.906706
chr1	12916646	12920480	PRAMEF7	0.981595
chr1	13163913	13165631	HNRNPCL4	0.9733315
chr1	13171847	13179459	PRAMEF9	0.48421
chr1	13196187	13201409	PRAMEF13	0.210682
chr1	13254196	13263435	PRAMEF5	1.262095
chr1	13341891	13347134	PRAMEF14	1.131207
chr1	16562322	16613564	NBPF1	4.58955544444444
chr1	16613597	16624540	LOC105376794	5.6574085
chr1	16618255	16630906	CROCCP2	5.38890728571429
chr1	16645573	16650420	MST1P2	3.4859795
chr1	16740515	16740679	RNU1-4	3.538677
chr1	16757119	16770380	MST1L	4.385175
chr1	105473601	105489957	LOC105378881	0.9831016875
chr1	109687816	109693745	GSTM1	0.0481278
chr1	120119942	120136719	LOC105378940	2.8775745
chr1	120325444	120343591	LOC107985522	1.0645805
chr1	120326651	120327681	LOC105378941	0.845525
chr1	120340808	120342650	LOC105378954	1.283636
chr1	120716938	120723764	LOC105378944	0.864294
chr1	120718092	120722993	LOC105378943	0.864294
chr1	120723938	120793889	NOTCH2NLR	0.838486
chr1	120805555	120842215	NBPF26	0.921099666666667
chr1	120850818	120850985	RNVU1-19	0.9028415
chr1	120889770	120890530	PPIAL4A	0.887998
chr1	120913340	120914114	LOC100996720	0.931713
chr1	143301204	143308956	LOC101929814	1.242784
chr1	143323046	143327009	LOC105371172	0.431545
